Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,
Data,5,record,timestamp,648903218,s,position_lat,464242254,semicircles,position_long,-919027522,semicircles,distance,362.02,m,altitude,46.60000000000002,m,speed,6.061,m/s,power,91,watts,cadence,67,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903219,s,position_lat,464242865,semicircles,position_long,-919027637,semicircles,distance,367.73,m,altitude,46.60000000000002,m,speed,5.753,m/s,power,80,watts,cadence,67,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903220,s,position_lat,464243417,semicircles,position_long,-919027810,semicircles,distance,372.98,m,altitude,46.799999999999955,m,speed,5.094,m/s,power,61,watts,cadence,67,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903221,s,position_lat,464243959,semicircles,position_long,-919028011,semicircles,distance,378.23,m,altitude,47.0,m,speed,4.985,m/s,power,63,watts,cadence,67,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903222,s,position_lat,464244397,semicircles,position_long,-919028292,semicircles,distance,382.79,m,altitude,47.0,m,speed,4.367,m/s,power,63,watts,cadence,67,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903223,s,position_lat,464244725,semicircles,position_long,-919028735,semicircles,distance,387.19,m,altitude,47.200000000000045,m,speed,4.866,m/s,power,94,watts,cadence,68,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903224,s,position_lat,464244926,semicircles,position_long,-919029369,semicircles,distance,392.11,m,altitude,47.200000000000045,m,speed,5.795,m/s,power,125,watts,cadence,69,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903225,s,position_lat,464245051,semicircles,position_long,-919030071,semicircles,distance,397.31,m,altitude,47.200000000000045,m,speed,5.536,m/s,power,132,watts,cadence,70,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903226,s,position_lat,464245150,semicircles,position_long,-919030935,semicircles,distance,403.65,m,altitude,47.39999999999998,m,speed,5.571,m/s,power,118,watts,cadence,70,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903227,s,position_lat,464245241,semicircles,position_long,-919031897,semicircles,distance,410.69,m,altitude,47.39999999999998,m,speed,5.856,m/s,power,118,watts,cadence,70,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903228,s,position_lat,464245336,semicircles,position_long,-919032914,semicircles,distance,418.14,m,altitude,47.39999999999998,m,speed,6.416,m/s,power,106,watts,cadence,73,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903229,s,position_lat,464245435,semicircles,position_long,-919033855,semicircles,distance,425.03,m,altitude,47.60000000000002,m,speed,6.61,m/s,power,79,watts,cadence,76,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903230,s,position_lat,464245487,semicircles,position_long,-919034837,semicircles,distance,432.15,m,altitude,47.60000000000002,m,speed,6.787,m/s,power,79,watts,cadence,76,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903231,s,position_lat,464245519,semicircles,position_long,-919035790,semicircles,distance,439.08,m,altitude,47.60000000000002,m,speed,6.802,m/s,power,80,watts,cadence,78,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903232,s,position_lat,464245507,semicircles,position_long,-919036793,semicircles,distance,446.37,m,altitude,47.60000000000002,m,speed,6.987,m/s,power,80,watts,cadence,78,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903233,s,position_lat,464245491,semicircles,position_long,-919037835,semicircles,distance,453.95,m,altitude,47.60000000000002,m,speed,7.004,m/s,power,80,watts,cadence,78,rpm,temperature,24,°C,,,,,,,,,,,,,
Data,5,record,timestamp,648903234,s,position_lat,464245462,semicircles,position_long,-919038797,semicircles,distance,460.94,m,altitude,47.799999999999955,m,speed,6.768,m/s,power,0,watts,cadence,0,rpm,temperature,24,°C,,,,,,,,,,,,,
