Timestamp [s],Event,Event Type,Event Group,Event Data,Timestamp,Cadence [rpm],Speed [m/s],Distance [m],Power [watts],Latitude [semicircles],Longitude [semicircles],Altitude [m],
Sat Jul 24 06:52:38 EDT 2010,TIMER,START,0,Trigger: MANUAL,
Sat Jul 24 06:52:39 EDT 2010,BATTERY,MARKER,135,,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:15 EDT 2010,73,7.195,615.53,78,464246324,-919059979,47.2,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:16 EDT 2010,73,7.181,622.6,79,464246332,-919060952,47.2,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:17 EDT 2010,74,7.052,629.75,80,464246286,-919061933,47.0,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:18 EDT 2010,74,7.076,636.71,80,464246274,-919062892,46.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:19 EDT 2010,74,7.17,643.79,83,464246190,-919063866,46.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:20 EDT 2010,74,7.137,650.86,83,464246150,-919064839,46.8,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:21 EDT 2010,75,6.831,657.69,66,464246144,-919065785,46.6,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:22 EDT 2010,75,7.268,664.77,66,464246141,-919066764,46.6,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:23 EDT 2010,75,7.005,671.87,68,464246140,-919067744,46.6,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:24 EDT 2010,75,6.818,678.93,70,464246147,-919068718,46.4,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:25 EDT 2010,75,6.086,685.36,69,464246146,-919069602,46.4,
Sat Jul 24 06:52:39 EDT 2010,,,,,Sat Jul 24 06:54:26 EDT 2010,75,7.227,693.04,69,464246131,-919070664,46.4,
